"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3126","should not login with invalid credentials for admin@practicesoftwaretesting.com","chromium","Tue Apr 01 09:21:24 GMT 2025","passed","Tue Apr 01 09:21:27 GMT 2025","Login Page","","",""
"","4929","can search for hammer","webkit","Tue Apr 01 09:22:11 GMT 2025","passed","Tue Apr 01 09:22:16 GMT 2025","Home Page","","",""
"","3139","can filter by categories Wrench","chromium","Tue Apr 01 09:21:05 GMT 2025","passed","Tue Apr 01 09:21:08 GMT 2025","Home Page","","",""
"","4447","can search for hammer","firefox","Tue Apr 01 09:21:31 GMT 2025","passed","Tue Apr 01 09:21:35 GMT 2025","Home Page","","",""
"","3300","can search for nail","firefox","Tue Apr 01 09:21:35 GMT 2025","passed","Tue Apr 01 09:21:38 GMT 2025","Home Page","","",""
"","3417","can filter by categories Power Tools","chromium","Tue Apr 01 09:21:06 GMT 2025","passed","Tue Apr 01 09:21:10 GMT 2025","Home Page","","",""
"","4717","can filter by categories Screwdriver, Chisels","firefox","Tue Apr 01 09:21:48 GMT 2025","passed","Tue Apr 01 09:21:52 GMT 2025","Home Page","","",""
"","5145","can filter by categories Hammer","webkit","Tue Apr 01 09:22:23 GMT 2025","passed","Tue Apr 01 09:22:28 GMT 2025","Home Page","","",""
"","6630","can filter by categories Screwdriver, Chisels","webkit","Tue Apr 01 09:22:34 GMT 2025","passed","Tue Apr 01 09:22:40 GMT 2025","Home Page","","",""
"","5092","can sort by Name (Z - A)","webkit","Tue Apr 01 09:22:45 GMT 2025","passed","Tue Apr 01 09:22:50 GMT 2025","Home Page","","",""
"","3828","should login with valid credentials for customer2@practicesoftwaretesting.com","firefox","Tue Apr 01 09:22:03 GMT 2025","passed","Tue Apr 01 09:22:07 GMT 2025","Login Page","","",""
"","6301","should login with valid credentials for customer2@practicesoftwaretesting.com","webkit","Tue Apr 01 09:22:57 GMT 2025","passed","Tue Apr 01 09:23:04 GMT 2025","Login Page","","",""
"","3398","should login with valid credentials for customer@practicesoftwaretesting.com","chromium","Tue Apr 01 09:21:21 GMT 2025","passed","Tue Apr 01 09:21:24 GMT 2025","Login Page","","",""
"","2738","can sort by Price (Low - High)","chromium","Tue Apr 01 09:21:17 GMT 2025","passed","Tue Apr 01 09:21:20 GMT 2025","Home Page","","",""
"","2887","can search for screw","firefox","Tue Apr 01 09:21:35 GMT 2025","passed","Tue Apr 01 09:21:38 GMT 2025","Home Page","","",""
"","3041","can sort by Name (A - Z)","chromium","Tue Apr 01 09:21:13 GMT 2025","passed","Tue Apr 01 09:21:16 GMT 2025","Home Page","","",""
"","5962","can search for hammer","chromium","Tue Apr 01 09:20:53 GMT 2025","passed","Tue Apr 01 09:20:59 GMT 2025","Home Page","","",""
"","2533","can search for screw","chromium","Tue Apr 01 09:20:58 GMT 2025","passed","Tue Apr 01 09:21:01 GMT 2025","Home Page","","",""
"","2526","can search for pliers","chromium","Tue Apr 01 09:21:01 GMT 2025","passed","Tue Apr 01 09:21:03 GMT 2025","Home Page","","",""
"","4832","should not login with invalid credentials for wrongUsername@practicesoftwaretesting.com","webkit","Tue Apr 01 09:23:04 GMT 2025","passed","Tue Apr 01 09:23:08 GMT 2025","Login Page","","",""
"","7469","can filter by categories Sander, Drill, Tool Belts, Storage Solutions","firefox","Tue Apr 01 09:21:48 GMT 2025","passed","Tue Apr 01 09:21:55 GMT 2025","Home Page","","",""
"","4574","can search for screw","webkit","Tue Apr 01 09:22:16 GMT 2025","passed","Tue Apr 01 09:22:21 GMT 2025","Home Page","","",""
"","9324","can filter by categories Sander, Drill, Tool Belts, Storage Solutions","webkit","Tue Apr 01 09:22:36 GMT 2025","passed","Tue Apr 01 09:22:45 GMT 2025","Home Page","","",""
"","2295","should not login with invalid credentials for wrongUsername@practicesoftwaretesting.com","chromium","Tue Apr 01 09:21:28 GMT 2025","passed","Tue Apr 01 09:21:30 GMT 2025","Login Page","","",""
"","5492","should successfully sign out","chromium","Tue Apr 01 09:21:29 GMT 2025","passed","Tue Apr 01 09:21:34 GMT 2025","Login Page","","",""
"","5685","should successfully sign out","firefox","Tue Apr 01 09:22:07 GMT 2025","passed","Tue Apr 01 09:22:13 GMT 2025","Login Page","","",""
"","3181","can filter by categories Power Tools","firefox","Tue Apr 01 09:21:45 GMT 2025","passed","Tue Apr 01 09:21:48 GMT 2025","Home Page","","",""
"","4663","can sort by Price (Low - High)","webkit","Tue Apr 01 09:22:45 GMT 2025","passed","Tue Apr 01 09:22:50 GMT 2025","Home Page","","",""
"","2624","can sort by Name (A - Z)","firefox","Tue Apr 01 09:21:52 GMT 2025","passed","Tue Apr 01 09:21:55 GMT 2025","Home Page","","",""
"","4569","can search for pliers","webkit","Tue Apr 01 09:22:21 GMT 2025","passed","Tue Apr 01 09:22:25 GMT 2025","Home Page","","",""
"","7270","should login with valid credentials for admin@practicesoftwaretesting.com","webkit","Tue Apr 01 09:22:50 GMT 2025","passed","Tue Apr 01 09:22:57 GMT 2025","Login Page","","",""
"","8663","should successfully sign out","webkit","Tue Apr 01 09:23:06 GMT 2025","passed","Tue Apr 01 09:23:15 GMT 2025","Login Page","","",""
"","3022","can filter by categories Hammer","chromium","Tue Apr 01 09:21:02 GMT 2025","passed","Tue Apr 01 09:21:05 GMT 2025","Home Page","","",""
