"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3674","can search for hammer","webkit","Tue Apr 01 09:12:38 GMT 2025","passed","Tue Apr 01 09:12:41 GMT 2025","Home Page","","",""
"","2368","can filter by categories Hammer","chromium","Tue Apr 01 09:11:49 GMT 2025","passed","Tue Apr 01 09:11:52 GMT 2025","Home Page","","",""
"","3329","can filter by categories Wrench","webkit","Tue Apr 01 09:12:51 GMT 2025","passed","Tue Apr 01 09:12:55 GMT 2025","Home Page","","",""
"","2704","can search for hammer","firefox","Tue Apr 01 09:12:08 GMT 2025","passed","Tue Apr 01 09:12:11 GMT 2025","Home Page","","",""
"","2593","can filter by categories Hammer","firefox","Tue Apr 01 09:12:16 GMT 2025","passed","Tue Apr 01 09:12:18 GMT 2025","Home Page","","",""
"","3148","can search for pliers","webkit","Tue Apr 01 09:12:45 GMT 2025","passed","Tue Apr 01 09:12:48 GMT 2025","Home Page","","",""
"","2220","can filter by categories Power Tools","chromium","Tue Apr 01 09:11:53 GMT 2025","passed","Tue Apr 01 09:11:55 GMT 2025","Home Page","","",""
"","3043","should not login with invalid credentials for admin@practicesoftwaretesting.com","webkit","Tue Apr 01 09:13:12 GMT 2025","passed","Tue Apr 01 09:13:15 GMT 2025","Login Page","","",""
"","1502","can sort by Name (A - Z)","chromium","Tue Apr 01 09:11:57 GMT 2025","passed","Tue Apr 01 09:11:58 GMT 2025","Home Page","","",""
"","3249","can search for screw","webkit","Tue Apr 01 09:12:42 GMT 2025","passed","Tue Apr 01 09:12:45 GMT 2025","Home Page","","",""
"","3972","should login with valid credentials for customer2@practicesoftwaretesting.com","webkit","Tue Apr 01 09:13:11 GMT 2025","passed","Tue Apr 01 09:13:15 GMT 2025","Login Page","","",""
"","1844","should not login with invalid credentials for admin@practicesoftwaretesting.com","chromium","Tue Apr 01 09:12:04 GMT 2025","passed","Tue Apr 01 09:12:06 GMT 2025","Login Page","","",""
"","2493","should login with valid credentials for admin@practicesoftwaretesting.com","chromium","Tue Apr 01 09:12:01 GMT 2025","passed","Tue Apr 01 09:12:04 GMT 2025","Login Page","","",""
"","2963","should login with valid credentials for customer2@practicesoftwaretesting.com","firefox","Tue Apr 01 09:12:31 GMT 2025","passed","Tue Apr 01 09:12:34 GMT 2025","Login Page","","",""
"","2059","can filter by categories Wrench","chromium","Tue Apr 01 09:11:52 GMT 2025","passed","Tue Apr 01 09:11:54 GMT 2025","Home Page","","",""
"","3073","can filter by categories Screwdriver, Chisels","chromium","Tue Apr 01 09:11:54 GMT 2025","passed","Tue Apr 01 09:11:57 GMT 2025","Home Page","","",""
"","1740","can search for pliers","chromium","Tue Apr 01 09:11:49 GMT 2025","passed","Tue Apr 01 09:11:50 GMT 2025","Home Page","","",""
"","1687","can sort by Name (Z - A)","chromium","Tue Apr 01 09:11:58 GMT 2025","passed","Tue Apr 01 09:12:00 GMT 2025","Home Page","","",""
"","3422","can filter by categories Hand Saw","webkit","Tue Apr 01 09:12:48 GMT 2025","passed","Tue Apr 01 09:12:52 GMT 2025","Home Page","","",""
"","2283","can filter by categories Hand Saw","chromium","Tue Apr 01 09:11:50 GMT 2025","passed","Tue Apr 01 09:11:53 GMT 2025","Home Page","","",""
"","2062","can sort by Price (Low - High)","firefox","Tue Apr 01 09:12:26 GMT 2025","passed","Tue Apr 01 09:12:28 GMT 2025","Home Page","","",""
"","3471","should not login with invalid credentials for wrongUsername@practicesoftwaretesting.com","webkit","Tue Apr 01 09:13:15 GMT 2025","passed","Tue Apr 01 09:13:19 GMT 2025","Login Page","","",""
"","2077","should not login with invalid credentials for wrongUsername@practicesoftwaretesting.com","firefox","Tue Apr 01 09:12:34 GMT 2025","passed","Tue Apr 01 09:12:36 GMT 2025","Login Page","","",""
"","2717","can filter by categories Wrench","firefox","Tue Apr 01 09:12:18 GMT 2025","passed","Tue Apr 01 09:12:21 GMT 2025","Home Page","","",""
"","3805","should login with valid credentials for customer@practicesoftwaretesting.com","webkit","Tue Apr 01 09:13:08 GMT 2025","passed","Tue Apr 01 09:13:12 GMT 2025","Login Page","","",""
"","3225","can search for nail","webkit","Tue Apr 01 09:12:41 GMT 2025","passed","Tue Apr 01 09:12:44 GMT 2025","Home Page","","",""
"","1945","can sort by Name (A - Z)","firefox","Tue Apr 01 09:12:24 GMT 2025","passed","Tue Apr 01 09:12:26 GMT 2025","Home Page","","",""
"","3338","can filter by categories Hammer","webkit","Tue Apr 01 09:12:48 GMT 2025","passed","Tue Apr 01 09:12:51 GMT 2025","Home Page","","",""
"","3444","can sort by Name (Z - A)","webkit","Tue Apr 01 09:13:02 GMT 2025","passed","Tue Apr 01 09:13:05 GMT 2025","Home Page","","",""
"","2415","should login with valid credentials for customer@practicesoftwaretesting.com","chromium","Tue Apr 01 09:12:02 GMT 2025","passed","Tue Apr 01 09:12:04 GMT 2025","Login Page","","",""
"","3409","can filter by categories Screwdriver, Chisels","firefox","Tue Apr 01 09:12:21 GMT 2025","passed","Tue Apr 01 09:12:24 GMT 2025","Home Page","","",""
"","2771","can search for nail","firefox","Tue Apr 01 09:12:11 GMT 2025","passed","Tue Apr 01 09:12:13 GMT 2025","Home Page","","",""
"","2856","should login with valid credentials for admin@practicesoftwaretesting.com","firefox","Tue Apr 01 09:12:28 GMT 2025","passed","Tue Apr 01 09:12:31 GMT 2025","Login Page","","",""
"","2021","can search for pliers","firefox","Tue Apr 01 09:12:14 GMT 2025","passed","Tue Apr 01 09:12:16 GMT 2025","Home Page","","",""
"","3511","can search for thor hammer","webkit","Tue Apr 01 09:12:44 GMT 2025","passed","Tue Apr 01 09:12:48 GMT 2025","Home Page","","",""
"","2093","can sort by Price (High - Low)","firefox","Tue Apr 01 09:12:28 GMT 2025","passed","Tue Apr 01 09:12:30 GMT 2025","Home Page","","",""
"","6109","should successfully sign out","webkit","Tue Apr 01 09:13:15 GMT 2025","passed","Tue Apr 01 09:13:21 GMT 2025","Login Page","","",""
"","2280","can search for screw","chromium","Tue Apr 01 09:11:47 GMT 2025","passed","Tue Apr 01 09:11:49 GMT 2025","Home Page","","",""
"","3385","can sort by Price (High - Low)","webkit","Tue Apr 01 09:13:05 GMT 2025","passed","Tue Apr 01 09:13:08 GMT 2025","Home Page","","",""
